"Enter Gift Card Code","Enter Gift Card Code"
"Add To Your List","Add To Your List"
"Date is set in timezone","Date is set in timezone"
Search,Search
"Search gift card...","Search gift card..."
"Gift Codes","Gift Codes"
View,View
Email,Email
Remove,Remove
"Are you sure?","Are you sure?"
"There are no gift codes matching this selection.","There are no gift codes matching this selection."
"Special Price","Special Price"
"Regular Price","Regular Price"
From,From
To,To
"Gift Cards cannot be used to purchase Gift Card products","Gift Cards cannot be used to purchase Gift Card products"
"Use Gift Card To Checkout","Use Gift Card To Checkout"
Apply,Apply
"Gift Card Amount","Gift Card Amount"
"Customer's Gift Card Code(s)","Customer's Gift Card Code(s)"
"Customer Gift Card Code","Customer Gift Card Code"
"New Gift Card Code","New Gift Card Code"
"Gift Card Products","Gift Card Products"
"Gift Card value: <span class=""regular-price"">%1</span>","Gift Card value: <span class=""regular-price"">%1</span>"
"Select a template ","Select a template "
Yes,Yes
"Send through post office","Send through post office"
"Send Gift Card to friend","Send Gift Card to friend"
"Sender name (optional):","Sender name (optional):"
"Recipient name: ","Recipient name: "
"Recipient email address: ","Recipient email address: "
"Send-to-purchaser email when recipient receives Gift Card","Send-to-purchaser email when recipient receives Gift Card"
"Time Zone","Time Zone"
"Refund to customer\'s Gift Card credit balance","Refund to customer\'s Gift Card credit balance"
"Browse to find or drag image here","Browse to find or drag image here"
"Delete image","Delete image"
Hidden,Hidden
"Gift Cart Preview","Gift Cart Preview"
"As low as","As low as"
"Refunded by %1","Refunded by %1"
"Refund order %1","Refund order %1"
"Canceled by %1","Canceled by %1"
"Cancel order %1","Cancel order %1"
"Gift card %1 is not exists","Gift card %1 is not exists"
"The email address of Gift Card recipient does not exist.","The email address of Gift Card recipient does not exist."
"Email of Gift card Purchaser does not exist.","Email of Gift card Purchaser does not exist."
"Invalid data","Invalid data"
"The maximum number of times to enter the invalid gift codes is %1!","The maximum number of times to enter the invalid gift codes is %1!"
"Invalid gift code. ","Invalid gift code. "
"%1 Order %2","%1 Order %2"
"%1 by %2","%1 by %2"
"Write message here...","Write message here..."
"Converting to cash is not allowed. You can redeem this gift card when checkout at your online store.","Converting to cash is not allowed. You can redeem this gift card when checkout at your online store."
"Gift Card ""%1"" does not exist.","Gift Card ""%1"" does not exist."
"This gift code limits the number of users","This gift code limits the number of users"
"Gift Card ""%1"" has been sent to the customer\'s friend.","Gift Card ""%1"" has been sent to the customer\'s friend."
"Gift Card ""%1"" has been applied successfully.","Gift Card ""%1"" has been applied successfully."
"You can’t use this gift code since its conditions haven’t been met.","You can’t use this gift code since its conditions haven’t been met."
"Gift Card ""%1"" is no longer available to use.","Gift Card ""%1"" is no longer available to use."
"Gift Card has been updated successfully.","Gift Card has been updated successfully."
"Gift card ""%1"" has been removed successfully.","Gift card ""%1"" has been removed successfully."
"Gift card ""%1"" not found!","Gift card ""%1"" not found!"
"Your Gift Card has been removed successfully.","Your Gift Card has been removed successfully."
"Used by Guest","Used by Guest"
"Used by %1 %1","Used by %1 %1"
"Spent on order %1","Spent on order %1"
"Refund from order %1","Refund from order %1"
"Created for order %1","Created for order %1"
"Created by customer %1 %2","Created by customer %1 %2"
"Use custom image","Use custom image"
"Sender Name","Sender Name"
"Giftcard Template","Giftcard Template"
"Recipient email","Recipient email"
"Day To Send","Day To Send"
"Email To Sender","Email To Sender"
Amount,Amount
"Giftcard Image","Giftcard Image"
"Use Custom Image","Use Custom Image"
"Notify when the recipient receives Gift Card.","Notify when the recipient receives Gift Card."
"Edit","Edit"
"Gift Price Setting","Gift Price Setting"
"Customer\'s Image","Customer\'s Image"
"Template image","Template image"
"Transaction History","Transaction History"
"Generated Gift Codes","Generated Gift Codes"
"Enter your gift code","Enter your gift code"
"Gift card code","Gift card code"
"Result","Result"
"Balance","Balance"
"Status","Status"
"Expired at","Expired at"
"You need to fill in your friend \'s address as the shipping address on checkout page. We will send this Gift Card to that address.","You need to fill in your friend \'s address as the shipping address on checkout page. We will send this Gift Card to that address."
"You need to fill in your friend \'s address as the shipping address on checkout page. We will send this Gift Card to that address after at least","You need to fill in your friend \'s address as the shipping address on checkout page. We will send this Gift Card to that address after at least"
"Custom message","Custom message"
"Characters Remaining:","Characters Remaining:"
"Get notification email when your friend receives Gift Card","Get notification email when your friend receives Gift Card"
"Day to send","Day to send"
"Select time zone","Select time zone"
"Preview template","Preview template"
"Preview Gift Card","Preview Gift Card"
"Select a template","Select a template"
"Or upload your photo", "Or upload your photo"
"Recommended size:","Recommended size:"
"Support gif, jpg, png files. Max file supported:","Support gif, jpg, png files. Max file supported:"
"Gift Card value: ","Gift Card value: "
"Select value","Select value"
"Enter value","Enter value"
"Use Gift Card to check out","Use Gift Card to check out"
"Gift Card Amount","Gift Card Amount"
"Remove","Remove"
"Enter your gift code","Enter your gift code"
"or select an existing Gift Card code","or select an existing Gift Card code"
"-- Please Select --","-- Please Select --"
"Please enter your code","Please enter your code"
"Please enter or chose your code","Please enter or chose your code"
"To check your Gift card information, please click ","To check your Gift card information, please click "
"To manage your Gift Card, please click ","To manage your Gift Card, please click "
"Apply","Apply"
"Add Gift Card","Add Gift Card"
"Gift Cards cannot be used to purchase Gift Card products","Gift Cards cannot be used to purchase Gift Card products"

"A gift card from","A gift card from"
"Gift card refund from","Gift card refund from"
"Your gift card at","Your gift card at"
"Successfully send gift card to","Successfully send gift card to"
"We are glad to inform that","We are glad to inform that"
"has sent you a Gift Card from","has sent you a Gift Card from"
"You can comfortably use the Gift Card(s) to purchase other products at","You can comfortably use the Gift Card(s) to purchase other products at"
"or add it to your Gift Card list by clicking","or add it to your Gift Card list by clicking"
"Print Gift Card","Print Gift Card"
"Your Gift code","Your Gift code"
"Your Gift code value","Your Gift code value"
"If you have any questions on your Gift card, please feel free to contact us at","If you have any questions on your Gift card, please feel free to contact us at"
"or by phone at","or by phone at"
"We regret to inform you that","We regret to inform you that"
"has requested a refund for the Gift Card order at","has requested a refund for the Gift Card order at"
"Hence, the Gift Card %code you received is no longer valid to purchase other products at our store","Hence, the Gift Card %code you received is no longer valid to purchase other products at our store"
"Hopefully we will have other opportunities to serve you in the future","Hopefully we will have other opportunities to serve you in the future"
"This email is to notify that you have successfully bought Gift Card(s) at","This email is to notify that you have successfully bought Gift Card(s) at"
"You can use Gift Card(s) to purchase other products","You can use Gift Card(s) to purchase other products"
"print now","print now"
"Your friend has received the Gift Card you sent. You can continue purchasing other products","Your friend has received the Gift Card you sent. You can continue purchasing other products"
